S.No.,Player Name,Club,Position,Total Attempts,On Target,Off Target,Blocked,Match Played
45,S. Thill,Sheriff,Midfielder,13,6,5,2,6
46,Ziyech,Chelsea,Midfielder,13,6,2,5,9
47,Firmino,Liverpool,Midfielder,13,5,2,6,7
48,Chiesa,Juventus,Forward,13,4,8,1,4
49,De Paul,Atlético,Midfielder,13,4,6,3,9
50,Claudinho,Zenit,Midfielder,13,4,6,3,6
51,Bellingham,Dortmund,Midfielder,13,4,6,3,6
52,Haaland,Dortmund,Forward,12,7,5,0,3
53,Kroos,Real Madrid,Midfielder,12,7,1,4,12
54,Vanaken,Club Brugge,Midfielder,12,6,1,5,6
55,Dybala,Juventus,Forward,12,5,7,0,5
56,Griezmann,Atlético,Forward,12,5,5,2,9
57,David,LOSC,Forward,12,5,5,2,8
58,Fernando,Shakhtar Donetsk,Midfielder,12,5,4,3,5
59,James,Chelsea,Defender,12,5,3,4,6
60,Henderson,Liverpool,Midfielder,12,4,4,4,12
61,Alonso,Chelsea,Defender,12,4,4,4,8
62,João Félix,Atlético,Forward,12,3,7,2,8
63,Ocampos,Sevilla,Midfielder,12,3,7,2,6
64,Tadić,Ajax,Forward,12,3,4,5,7
65,Bruno Fernandes,Man. United,Midfielder,12,3,3,6,7
66,Origi,Liverpool,Forward,12,2,8,2,7
67,Sučić,Salzburg,Midfielder,12,2,5,5,8
68,Alexander-Arnold,Liverpool,Defender,12,1,6,5,9
69,Malen,Dortmund,Forward,11,5,3,3,6
70,Traore,Sheriff,Midfielder,11,4,6,1,6
71,João Cancelo,Man. City,Defender,11,4,3,4,9
72,Forsberg,Leipzig,Forward,11,4,3,4,6
73,Malinovskyi,Atalanta,Midfielder,11,4,3,4,5
74,Ikoné,LOSC,Midfielder,11,4,2,5,5
75,Lukaku,Chelsea,Forward,11,3,6,2,6
76,Mount,Chelsea,Midfielder,11,3,5,3,7
77,Moumi Ngamaleu,Young Boys,Midfielder,11,2,5,4,6
78,Rüdiger,Chelsea,Defender,11,1,8,2,9
79,Brozović,Inter,Midfielder,11,1,4,6,8
80,Lang,Club Brugge,Forward,10,5,2,3,6
81,Werner,Chelsea,Forward,10,5,0,5,5
82,Rafa Mir,Sevilla,Forward,10,4,5,1,6
83,Elia,Young Boys,Forward,10,3,7,0,6
84,Škriniar,Inter,Defender,10,3,6,1,8
85,Siebatcheu,Young Boys,Forward,10,3,6,1,6
86,Oxlade-Chamberlain,Liverpool,Midfielder,10,3,4,3,6
87,Malcom,Zenit,Forward,10,3,3,4,6
88,Musiala,Bayern,Midfielder,10,3,2,5,8
89,Grealish,Man. City,Midfielder,10,3,0,7,7
90,Pavard,Bayern,Defender,10,2,7,1,10
91,Batshuayi,Beşiktaş,Forward,10,2,7,1,5
92,Casemiro,Real Madrid,Midfielder,10,2,6,2,11
93,Kristensen,Salzburg,Defender,10,2,5,3,8
94,Rashford,Man. United,Forward,10,2,5,3,5
95,Gonçalo Ramos,Benfica,Forward,10,2,4,4,7
96,Pedrinho,Shakhtar Donetsk,Midfielder,10,2,4,4,4
97,Neymar,Paris,Forward,10,1,5,4,6
98,Jesus,Man. City,Forward,9,7,1,1,8
99,Gravenberch,Ajax,Midfielder,9,5,2,2,8
100,Éder Militão,Real Madrid,Defender,9,4,5,0,12
101,Everton,Benfica,Forward,9,4,4,1,9
102,Kean,Juventus,Forward,9,4,4,1,6
103,L. Nmecha,Wolfsburg,Forward,9,4,1,4,5
